EmployeeId,AttendanceDate,CheckIn,CheckOut
VIKU,01/06/2017,06:33:08,14:41:54
VIKU,02/06/2017,06:48:07,15:49:04
VIKU,03/06/2017,00:00,00:00
VIKU,04/06/2017,00:00,00:00
VIKU,05/06/2017,14:23:25,23:38:09
VIKU,06/06/2017,14:06:30,23:28:40
VIKU,07/06/2017,14:14:39,23:31:07
VIKU,08/06/2017,14:44:14,23:32:38
VIKU,09/06/2017,14:03:42,23:37:27
VIKU,10/06/2017,00:00,00:00
VIKU,11/06/2017,00:00,00:00
VIKU,12/06/2017,00:00,00:00
VIKU,13/06/2017,14:22:21,23:29:11
VIKU,14/06/2017,14:22:48,23:33:33
VIKU,15/06/2017,14:06:16,23:36:47
VIKU,16/06/2017,13:55:12,23:30:04
VIKU,17/06/2017,00:00,00:00
VIKU,18/06/2017,00:00,00:00
VIKU,19/06/2017,00:00,00:00
VIKU,20/06/2017,00:00,00:00
VIKU,21/06/2017,15:04:27,23:30:19
VIKU,22/06/2017,14:44:35,23:31:09
VIKU,23/06/2017,14:09:07,23:32:32
VIKU,24/06/2017,00:00,00:00
VIKU,25/06/2017,00:00,00:00
VIKU,26/06/2017,14:21:17,23:28:52
VIKU,27/06/2017,14:54:16,23:31:11
VIKU,28/06/2017,14:22:28,23:36:27
VIKU,29/06/2017,14:09:36,23:35:09
VIKU,30/06/2017,14:43:01,23:35:49
DEBV,01/06/2017,09:09:45,19:42:20
DEBV,02/06/2017,00:00,00:00
DEBV,03/06/2017,00:00,00:00
DEBV,04/06/2017,00:00,00:00
DEBV,05/06/2017,09:15:20,21:32:16
DEBV,06/06/2017,08:57:57,21:22:17
DEBV,07/06/2017,09:46:42,21:19:00
DEBV,08/06/2017,00:00,00:00
DEBV,09/06/2017,09:17:12,21:57:40
DEBV,10/06/2017,00:00,00:00
DEBV,11/06/2017,00:00,00:00
DEBV,12/06/2017,09:17:35,22:11:03
DEBV,13/06/2017,09:35:38,21:15:14
DEBV,14/06/2017,00:00,00:00
DEBV,15/06/2017,09:33:03,16:05:06
DEBV,16/06/2017,09:25:13,23:18:50
DEBV,17/06/2017,00:00,00:00
DEBV,18/06/2017,00:00,00:00
DEBV,19/06/2017,09:35:46,21:02:35
DEBV,20/06/2017,09:47:15,20:54:05
DEBV,21/06/2017,09:07:54,22:45:02
DEBV,22/06/2017,09:41:12,16:21:00
DEBV,23/06/2017,09:10:14,21:06:58
DEBV,24/06/2017,00:00,00:00
DEBV,25/06/2017,00:00,00:00
DEBV,26/06/2017,00:00,00:00
DEBV,27/06/2017,08:58:41,21:31:29
DEBV,28/06/2017,09:13:20,21:58:21
DEBV,29/06/2017,09:16:58,16:40:33
DEBV,30/06/2017,09:15:17,00:00
GASR,01/06/2017,09:22:11,19:01:57
GASR,02/06/2017,00:00,00:00
GASR,03/06/2017,00:00,00:00
GASR,04/06/2017,00:00,00:00
GASR,05/06/2017,09:22:56,18:42:00
GASR,06/06/2017,09:20:43,19:24:34
GASR,07/06/2017,09:24:14,19:06:17
GASR,08/06/2017,09:25:46,19:14:31
GASR,09/06/2017,09:25:43,19:42:05
GASR,10/06/2017,00:00,00:00
GASR,11/06/2017,00:00,00:00
GASR,12/06/2017,09:09:54,19:07:22
GASR,13/06/2017,09:18:02,19:04:31
GASR,14/06/2017,09:15:16,19:17:09
GASR,15/06/2017,09:25:13,19:10:37
GASR,16/06/2017,09:22:19,19:08:30
GASR,17/06/2017,00:00,00:00
GASR,18/06/2017,00:00,00:00
GASR,19/06/2017,09:19:31,19:03:49
GASR,20/06/2017,09:16:56,19:09:13
GASR,21/06/2017,09:18:59,19:55:03
GASR,22/06/2017,09:19:06,19:05:55
GASR,23/06/2017,09:19:24,19:08:38
GASR,24/06/2017,00:00,00:00
GASR,25/06/2017,00:00,00:00
GASR,26/06/2017,00:00,00:00
GASR,27/06/2017,09:17:34,19:06:42
GASR,28/06/2017,09:19:55,19:16:42
GASR,29/06/2017,09:18:25,19:13:41
GASR,30/06/2017,09:22:09,19:07:31
MAHI,01/06/2017,00:00,00:00
MAHI,02/06/2017,00:00,00:00
MAHI,03/06/2017,00:00,00:00
MAHI,04/06/2017,00:00,00:00
MAHI,05/06/2017,00:00,00:00
MAHI,06/06/2017,00:00,00:00
MAHI,07/06/2017,00:00,00:00
MAHI,08/06/2017,00:00,00:00
MAHI,09/06/2017,00:00,00:00
MAHI,10/06/2017,00:00,00:00
MAHI,11/06/2017,00:00,00:00
MAHI,12/06/2017,00:00,00:00
MAHI,13/06/2017,00:00,00:00
MAHI,14/06/2017,00:00,00:00
MAHI,15/06/2017,00:00,00:00
MAHI,16/06/2017,00:00,00:00
MAHI,17/06/2017,00:00,00:00
MAHI,18/06/2017,00:00,00:00
MAHI,19/06/2017,00:00,00:00
MAHI,20/06/2017,00:00,00:00
MAHI,21/06/2017,00:00,00:00
MAHI,22/06/2017,00:00,00:00
MAHI,23/06/2017,00:00,00:00
MAHI,24/06/2017,00:00,00:00
MAHI,25/06/2017,00:00,00:00
MAHI,26/06/2017,00:00,00:00
MAHI,27/06/2017,00:00,00:00
MAHI,28/06/2017,00:00,00:00
MAHI,29/06/2017,00:00,00:00
MAHI,30/06/2017,00:00,00:00
SMCH,01/06/2017,09:19:44,18:43:09
SMCH,02/06/2017,00:00,00:00
SMCH,03/06/2017,00:00,00:00
SMCH,04/06/2017,00:00,00:00
SMCH,05/06/2017,09:11:15,19:26:42
SMCH,06/06/2017,09:15:21,18:42:06
SMCH,07/06/2017,09:19:23,18:35:56
SMCH,08/06/2017,09:24:31,18:45:34
SMCH,09/06/2017,09:24:22,18:57:27
SMCH,10/06/2017,00:00,00:00
SMCH,11/06/2017,00:00,00:00
SMCH,12/06/2017,09:15:32,19:47:45
SMCH,13/06/2017,09:30:42,18:41:28
SMCH,14/06/2017,09:24:59,18:15:49
SMCH,15/06/2017,09:10:40,19:04:06
SMCH,16/06/2017,09:22:47,19:34:19
SMCH,17/06/2017,00:00,00:00
SMCH,18/06/2017,00:00,00:00
SMCH,19/06/2017,09:30:47,18:37:43
SMCH,20/06/2017,09:24:15,18:48:39
SMCH,21/06/2017,09:25:39,18:26:30
SMCH,22/06/2017,00:00,00:00
SMCH,23/06/2017,00:00,00:00
SMCH,24/06/2017,00:00,00:00
SMCH,25/06/2017,00:00,00:00
SMCH,26/06/2017,00:00,00:00
SMCH,27/06/2017,09:22:27,18:53:14
SMCH,28/06/2017,09:04:00,18:44:43
SMCH,29/06/2017,09:20:28,18:53:38
SMCH,30/06/2017,09:23:32,18:36:39
PMI,01/06/2017,10:43:13,18:40:52
PMI,02/06/2017,00:00,00:00
PMI,03/06/2017,00:00,00:00
PMI,04/06/2017,00:00,00:00
PMI,05/06/2017,10:14:01,19:06:39
PMI,06/06/2017,10:29:59,20:25:00
PMI,07/06/2017,00:00,00:00
PMI,08/06/2017,10:53:37,19:19:19
PMI,09/06/2017,08:46:30,00:00
PMI,10/06/2017,00:00,00:00
PMI,11/06/2017,00:00,00:00
PMI,12/06/2017,00:00,00:00
PMI,13/06/2017,00:00,00:00
PMI,14/06/2017,00:00,00:00
PMI,15/06/2017,00:00,00:00
PMI,16/06/2017,00:00,00:00
PMI,17/06/2017,00:00,00:00
PMI,18/06/2017,00:00,00:00
PMI,19/06/2017,00:00,00:00
PMI,20/06/2017,00:00,00:00
PMI,21/06/2017,00:00,00:00
PMI,22/06/2017,00:00,00:00
PMI,23/06/2017,00:00,00:00
PMI,24/06/2017,00:00,00:00
PMI,25/06/2017,00:00,00:00
PMI,26/06/2017,00:00,00:00
PMI,27/06/2017,00:00,00:00
PMI,28/06/2017,00:00,00:00
PMI,29/06/2017,00:00,00:00
PMI,30/06/2017,00:00,00:00
MADT,01/06/2017,09:35:12,18:06:09
MADT,02/06/2017,00:00,00:00
MADT,03/06/2017,00:00,00:00
MADT,04/06/2017,00:00,00:00
MADT,05/06/2017,09:05:13,18:10:30
MADT,06/06/2017,09:22:03,17:54:56
MADT,07/06/2017,00:00,00:00
MADT,08/06/2017,09:02:18,18:05:43
MADT,09/06/2017,08:54:52,17:59:59
MADT,10/06/2017,00:00,00:00
MADT,11/06/2017,00:00,00:00
MADT,12/06/2017,08:48:33,18:30:05
MADT,13/06/2017,08:46:49,17:56:02
MADT,14/06/2017,09:21:19,18:05:36
MADT,15/06/2017,00:00,00:00
MADT,16/06/2017,00:00,00:00
MADT,17/06/2017,00:00,00:00
MADT,18/06/2017,00:00,00:00
MADT,19/06/2017,09:20:47,18:08:34
MADT,20/06/2017,08:52:32,18:03:49
MADT,21/06/2017,08:39:05,18:10:53
MADT,22/06/2017,09:07:25,18:16:11
MADT,23/06/2017,09:39:04,18:26:12
MADT,24/06/2017,00:00,00:00
MADT,25/06/2017,00:00,00:00
MADT,26/06/2017,00:00,00:00
MADT,27/06/2017,09:09:52,17:54:04
MADT,28/06/2017,09:20:58,18:13:50
MADT,29/06/2017,08:58:28,18:08:24
MADT,30/06/2017,00:00,00:00
MASI,01/06/2017,11:08:21,19:50:22
MASI,02/06/2017,00:00,00:00
MASI,03/06/2017,00:00,00:00
MASI,04/06/2017,00:00,00:00
MASI,05/06/2017,00:00,00:00
MASI,06/06/2017,00:00,00:00
MASI,07/06/2017,00:00,00:00
